Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-santeon.careplan.ig.json	5045	-	0	0	0	0	0	0	12	64	0	0	0	0	0	0	0	1	0	0	0	112	225	0	0	0	4	0	0
fsh-generated/resources/CapabilityStatement-SanteonCarePlanCapabilityStatement.json	1789	4	0	0	1	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	0	26	56	0	0	0	0	0	0
fsh-generated/resources/CarePlan-SanteonCarePlanExample.json	487	2	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-deidentification-action-cs.json	1141	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	15	138	0	0	0	1	0	0
fsh-generated/resources/Patient-ExamplePatient.json	194	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-deidentification-ruleset.json	8482	3	0	20	0	0	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	0	118	778	0	1	0	3	0	1
fsh-generated/resources/StructureDefinition-santeon-careplan.json	9935	5	0	69	0	0	0	0	0	196	0	0	1	0	0	0	0	1	0	0	0	347	630	0	0	0	14	0	0
fsh-generated/resources/ValueSet-deidentification-action-vs.json	506	1	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	1	0	0	0	12	131	0	0	0	1	0	0
/fsh-generated/resources/Binary-santeon-default.json	743	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
/input/includes/mappings-table-styling.html	1215	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/includes/menu.xml	275	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/mappings-styling.html	1190	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	531	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	165	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/lineage.md	1256	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/profiles.md	102	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/deidentification.md	34547	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	216	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
/temp/pages/_includes/fragment-artifacts-table.html	3362	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
