Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-santeon.careplan.ig.json	5045	-	0	0	0	0	0	0	7	46	0	0	0	0	0	0	0	1	0	0	0	93	129	0	0	0	1	0	1
fsh-generated/resources/CapabilityStatement-SanteonCarePlanCapabilityStatement.json	1789	2	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	99	38	0	0	0	1	0	0
fsh-generated/resources/CarePlan-SanteonCarePlanExample.json	487	1	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-deidentification-action-cs.json	1141	1	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	28	85	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplePatient.json	194	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-deidentification-ruleset.json	8997	2	0	11	0	0	0	0	0	930	0	0	0	0	0	0	0	0	0	0	0	42	535	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-santeon-careplan.json	9935	2	0	31	0	0	0	0	0	1885	0	0	0	0	0	0	0	2	0	0	0	147	452	0	0	0	9	0	1
fsh-generated/resources/ValueSet-deidentification-action-vs.json	506	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	9	83	0	0	0	0	0	0
/fsh-generated/resources/Binary-santeon-default.json	816	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
/input/includes/menu.xml	275	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/includes/mappings-table-styling.html	1215	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/mappings-styling.html	1190	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	531	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/profiles.md	102	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/deidentification.md	32499	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/pagecontent/lineage.md	1256	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	165	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	216	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
/temp/pages/_includes/fragment-artifacts-table.html	3362	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
